candidate_id,client_name,industry_type,position_skillset,candidate_skillset,interview_type,gender,candidate_current_location,candidate_job_location,interview_venue,candidate_native_location,q1,q2,q3,q4,q5,q6,q7,marital_status,attendance
CANDIDATE 290,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BELGAUM,NO,,,,,,,MARRIED,
CANDIDATE 300,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,,,,,,,,SINGLE,
CANDIDATE 310,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,PUNE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 321,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 332,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 347,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,SINGLE,
CANDIDATE 356,HOSPIRA,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED,FEMALE,HYDERABAD,CHENNAI,HYDERABAD,HYDERABAD,,,,,,,,SINGLE,
CANDIDATE 368,HOSPIRA,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED,FEMALE,HYDERABAD,CHENNAI,HYDERABAD,HYDERABAD,YES,YES,YES,NO,YES,YES,YES,SINGLE,
CANDIDATE 383,HOSPIRA,PHARMACEUTICALS,ROUTINE,ANALYTICAL R&D,SCHEDULED,MALE,HYDERABAD,VISAKAPATINAM,HYDERABAD,HYDERABAD,,,,,,,,MARRIED,
CANDIDATE 398,PFIZER,PHARMACEUTICALS,NICHE,MEDNET,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 412,PFIZER,PHARMACEUTICALS,NICHE,MEDNET,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 427,STANDARD CHARTERED BANK,BFSI,ROUTINE,TESTING,SCHEDULED,FEMALE,CHENNAI,CHENNAI,CHENNAI,AHMEDABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 436,STANDARD CHARTERED BANK,BFSI,ROUTINE,SENIOR ANALYST,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 451,PFIZER,PHARMACEUTICALS,ROUTINE,REGULATORY,SCHEDULED,MALE,HYDERABAD,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 466,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 478,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,MARRIED,
CANDIDATE 493,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,PONDICHERRY,,,,,,,,SINGLE,
CANDIDATE 508,PFIZER,PHARMACEUTICALS,NICHE,BIOSIMILAR,SCHEDULED WALKIN,MALE,BANGALORE,CHENNAI,BANGALORE,HYDERABAD,,,,,,,,SINGLE,
CANDIDATE 523,PFIZER,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED WALKIN,MALE,BANGALORE,CHENNAI,BANGALORE,HYDERABAD,,,,,,,,SINGLE,
CANDIDATE 538,ASTRAZENECA,PHARMACEUTICALS,NICHE,TESTING,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,TUTICORIN,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 553,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 571,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,,,,,,,SINGLE,
CANDIDATE 583,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 598,FLEXTRONICS,ELECTRONICS,ROUTINE,JAVA,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,TRICHY,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 613,STANDARD CHARTERED BANK,BFSI,ROUTINE,LENDING,WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 631,STANDARD CHARTERED BANK,BFSI,ROUTINE,LENDING,SCHEDULED,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 646,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,SINGLE,
CANDIDATE 661,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,,,,,,,MARRIED,
CANDIDATE 676,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,,,,,,,,SINGLE,
CANDIDATE 691,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 706,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 721,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 736,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,VELLORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 751,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 766,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 781,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 796,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,NAGERCOIL,,,,,,,,MARRIED,
CANDIDATE 814,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 829,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,ALLAHABAD,,,,,,,,SINGLE,
CANDIDATE 844,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 859,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CUTTACK,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 871,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 889,STANDARD CHARTERED BANK,BFSI,NICHE,T 24 DEVELOPER,SCHEDULED,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 904,HOSPIRA,PHARMACEUTICALS,ROUTINE,JAVA,WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 919,HOSPIRA,PHARMACEUTICALS,ROUTINE,JAVA,WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,,,,,,,SINGLE,
CANDIDATE 937,PRODAPT,TELECOM,ROUTINE,COTS,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,,,,,,,MARRIED,
CANDIDATE 952,AON HEWITT,IT,ROUTINE,DOT NET,SCHEDULED,MALE,GURGAON,GURGAON,GURGAON,GURGAON,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 967,AON HEWITT,IT,ROUTINE,TESTING,SCHEDULED,FEMALE,GURGAON,GURGAON,GURGAON,GURGAON,NO,YES,YES,NO,NO,YES,NO,SINGLE,
CANDIDATE 982,WILLIAMS LEA,IT,NICHE,ETL,SCHEDULED,MALE,COCHIN,COCHIN,COCHIN,TRIVANDRUM,NO,NO,YES,YES,NO,YES,YES,SINGLE,
CANDIDATE 1000,AON HEWITT,IT,ROUTINE,JAVA,SCHEDULED,FEMALE,NOIDA,NOIDA,NOIDA,NOIDA,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1015,AON HEWITT,IT,NICHE,HADOOP,SCHEDULED,MALE,NOIDA,NOIDA,NOIDA,NOIDA,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1033,STANDARD CHARTERED BANK,BFSI,ROUTINE,SCCM,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1048,STANDARD CHARTERED BANK,BFSI,ROUTINE,SAS,SCHEDULED,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1063,STANDARD CHARTERED BANK,BFSI,ROUTINE,SAS,SCHEDULED,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,NO,,,,,,,MARRIED,
CANDIDATE 1078,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CUTTACK,,,,,,,,SINGLE,
CANDIDATE 1093,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1108,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1123,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1138,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1156,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1171,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1189,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1207,STANDARD CHARTERED BANK,BFSI,ROUTINE,JAVA,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,MARRIED,
CANDIDATE 1222,PFIZER,PHARMACEUTICALS,NICHE,EMEA,SCHEDULED,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,
CANDIDATE 1233,PFIZER,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED,FEMALE,CHENNAI,CHENNAI,CHENNAI,KOLKATA,,,,,,,,SINGLE,
