candidate_id,client_name,industry_type,position_skillset,candidate_skillset,interview_type,gender,candidate_current_location,candidate_job_location,interview_venue,candidate_native_location,q1,q2,q3,q4,q5,q6,q7,marital_status,attendance
CANDIDATE 27,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,NO,YES,YES,YES,YES,YES,NO,MARRIED,NO
CANDIDATE 28,UST,IT,DOT NET,ROUTINE,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,NO,YES,YES,YES,NO,YES,NO,SINGLE,NO
CANDIDATE 32,STANDARD CHARTERED BANK,BFSI,AML,ROUTINE,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,COIMBATORE,YES,YES,YES,NO,YES,YES,NO,SINGLE,NO
CANDIDATE 34,STANDARD CHARTERED BANK,BFSI,AML,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 35,STANDARD CHARTERED BANK,BFSI,AML,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,NO,YES,NO,YES,MARRIED,NO
CANDIDATE 38,STANDARD CHARTERED BANK,BFSI,TRADE FINANCE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 41,STANDARD CHARTERED BANK,BFSI,TRADE FINANCE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,NO,YES,MARRIED,NO
CANDIDATE 43,STANDARD CHARTERED BANK,BFSI,TRADE FINANCE,ROUTINE,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,TRICHY,YES,YES,YES,NO,NO,YES,YES,MARRIED,NO
CANDIDATE 45,STANDARD CHARTERED BANK,BFSI,TRADE FINANCE,ROUTINE,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 52,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,MUMBAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 54,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 59,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 61,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 66,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 78,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 79,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 81,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 83,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 85,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,NO,MARRIED,NO
CANDIDATE 86,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,YES,YES,YES,NO,YES,YES,SINGLE,NO
CANDIDATE 87,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,YES,YES,NO,YES,YES,YES,SINGLE,NO
CANDIDATE 88,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,NO,YES,NO,YES,SINGLE,NO
CANDIDATE 89,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,YES,YES,YES,YES,NO,YES,SINGLE,NO
CANDIDATE 93,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 94,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 96,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 97,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 101,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 104,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 109,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 113,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 118,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 121,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,NO,NO,NO,NO,YES,YES,SINGLE,NO
CANDIDATE 122,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 125,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,YES,YES,YES,NO,NO,NO,SINGLE,NO
CANDIDATE 127,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,YES,YES,YES,NO,NO,NO,SINGLE,NO
CANDIDATE 128,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 131,STANDARD CHARTERED BANK,BFSI,ROUTINE,REGULATORY,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 142,ANZ,BFSI,NICHE,REGULATORY,SCHEDULED,MALE,BANGALORE,BANGALORE,BANGALORE,PUNE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 159,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 165,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 169,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 175,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 178,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 179,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 199,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 202,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 204,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 206,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 207,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 208,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 211,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 212,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 213,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 214,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 217,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 225,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 226,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 227,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 231,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 233,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 234,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 239,STANDARD CHARTERED BANK,BFSI,ROUTINE,ROUTINE,WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 244,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,NO,,,,,,,SINGLE,NO
CANDIDATE 245,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,CHENNAI,,,,,,,,SINGLE,NO
CANDIDATE 248,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,ALLAHABAD,,,,,,,,SINGLE,NO
CANDIDATE 255,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,,,,,,,,SINGLE,NO
CANDIDATE 256,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,ALLAHABAD,,,,,,,,SINGLE,NO
CANDIDATE 257,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,ALLAHABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 259,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 262,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,,,,,,,,SINGLE,NO
CANDIDATE 266,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,CHENNAI,,,,,,,,SINGLE,NO
CANDIDATE 267,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,CHENNAI,NO,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 268,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,KOLKATA,,,,,,,,SINGLE,NO
CANDIDATE 270,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,KOLKATA,,,,,,,,MARRIED,NO
CANDIDATE 272,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,YES,YES,NO,YES,NO,YES,YES,MARRIED,NO
CANDIDATE 277,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,COCHIN,,,,,,,,SINGLE,NO
CANDIDATE 279,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,BANGALORE,BANGALORE,BANGALORE,CUTTACK,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 283,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 284,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,,,,,,,,SINGLE,NO
CANDIDATE 286,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,GURGAON,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 288,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,VISAKAPATINAM,,,,,,,,MARRIED,NO
CANDIDATE 289,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,MUMBAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 293,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,COCHIN,,,,,,,,MARRIED,NO
CANDIDATE 297,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,CHENNAI,,,,,,,,SINGLE,NO
CANDIDATE 303,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,,,,,,,,SINGLE,NO
CANDIDATE 307,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,PATNA,,,,,,,,MARRIED,NO
CANDIDATE 308,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,,,,,,,,SINGLE,NO
CANDIDATE 312,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,CHENNAI,,,,,,,,SINGLE,NO
CANDIDATE 314,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,YES,YES,YES,YES,YES,YES,NO,SINGLE,NO
CANDIDATE 317,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,BANGALORE,,,,,,,,MARRIED,NO
CANDIDATE 320,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,HYDERABAD,,,,,,,,MARRIED,NO
CANDIDATE 325,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,BANGALORE,BANGALORE,BANGALORE,CHENNAI,,,,,,,,SINGLE,NO
CANDIDATE 326,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,YES,YES,YES,YES,YES,YES,YES,SINGLE,NO
CANDIDATE 327,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,HYDERABAD,YES,YES,YES,YES,YES,YES,YES,MARRIED,NO
CANDIDATE 330,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,,,,,,,SINGLE,NO
CANDIDATE 333,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,COCHIN,,,,,,,,MARRIED,NO
CANDIDATE 334,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,MARRIED,NO
CANDIDATE 337,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,MARRIED,NO
CANDIDATE 341,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,MARRIED,NO
CANDIDATE 342,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,MARRIED,NO
CANDIDATE 345,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,BANGALORE,NO,,,,,,,SINGLE,NO
CANDIDATE 346,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,MALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,,,,,,,SINGLE,NO
CANDIDATE 349,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,NO,,,,,,,MARRIED,NO
CANDIDATE 351,STANDARD CHARTERED BANK,BFSI,ROUTINE,CDD,SCHEDULED WALKIN,FEMALE,CHENNAI,CHENNAI,CHENNAI,CHENNAI,,,,,,,,MARRIED,NO
CANDIDATE 353,HOSPIRA,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED WALKIN,MALE,HYDERABAD,CHENNAI,HYDERABAD,VISAKAPATINAM,YES,YES,YES,YES,YES,NO,YES,MARRIED,NO
CANDIDATE 358,HOSPIRA,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED,MALE,HYDERABAD,CHENNAI,HYDERABAD,CHITOOR,,,,,,,,MARRIED,NO
CANDIDATE 359,HOSPIRA,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED,MALE,HYDERABAD,CHENNAI,HYDERABAD,HYDERABAD,NO,,,,,,,MARRIED,NO
CANDIDATE 365,HOSPIRA,PHARMACEUTICALS,NICHE,MANAGEMENT,SCHEDULED,MALE,HYDERABAD,CHENNAI,HYDERABAD,WARANGAL,NO,,,,,,,MARRIED,NO
CANDIDATE 367,HOSPIRA,PHARMACEUTICALS,NICHE,REGULATORY,SCHEDULED,MALE,HYDERABAD,CHENNAI,HYDERABAD,HYDERABAD,,,,,,,,MARRIED,NO
CANDIDATE 369,HOSPIRA,PHARMACEUTICALS,NICHE,BIOSIMILAR,SCHEDULED,MALE,HYDERABAD,CHENNAI,HYDERABAD,HYDERABAD,,,,,,,,MARRIED,NO
CANDIDATE 377,HOSPIRA,PHARMACEUTICALS,ROUTINE,ANALYTICAL R&D,SCHEDULED,MALE,HYDERABAD,VISAKAPATINAM,HYDERABAD,VISAKAPATINAM,YES,YES,NO,YES,NO,YES,YES,MARRIED,NO
